Tweet_ID,Username,Tweet_Text,Date_Time,City,Hashtags,Language,Sentiment_Score,Sentiment_Label,Emotion_Type,Topic_Category,Retweet_Count,Likes_Count,Weather_Data,Lowercase_Text,URLs_Found,Emojis,Contains_Question,Contains_Exclamation,Avg_Word_Length,Tokens,Tokens_No_Stopwords,Tokens_No_Punct,Lemmatized_Tokens,Cleaned_Text,Word_Count,Unique_Word_Count,Predicted_Emotion,Predicted_Topic
TWT1,user_408415,Climate researchers in Quetta are raising concerns about health risks related to heatwave as weather conditions shift.,11/20/2025 12:00:00 AM,Quetta,#Floods,en,-0.16392,Negative,Climate Stress,Climate,1921,9013,heatwave,climate researchers in quetta are raising concerns about health risks related to heatwave as weather conditions shift.,[],[],FALSE,FALSE,6,"['climate', 'researchers', 'in', 'quetta', 'are', 'raising', 'concerns', 'about', 'health', 'risks', 'related', 'to', 'heatwave', 'as', 'weather', 'conditions', 'shift', '.']","['climate', 'researchers', 'quetta', 'raising', 'concerns', 'health', 'risks', 'related', 'heatwave', 'weather', 'conditions', 'shift', '.']","['climate', 'researchers', 'quetta', 'raising', 'concerns', 'health', 'risks', 'related', 'heatwave', 'weather', 'conditions', 'shift']","['climate', 'researcher', 'quetta', 'raising', 'concern', 'health', 'risk', 'related', 'heatwave', 'weather', 'condition', 'shift']",climate researcher quetta raising concern health risk related heatwave weather condition shift,12,12,Severe Disaster Concern,Disaster
TWT2,user_308108,Residents in Islamabad are observing serious impacts related to water scarcity due to changing climate patterns.,9/6/2024 12:00:00 AM,Islamabad,#Heatwave,en,-0.107431111,Neutral,Resource Crisis,Climate,1189,2441,water scarcity,residents in islamabad are observing serious impacts related to water scarcity due to changing climate patterns.,[],[],FALSE,FALSE,6.0625,"['residents', 'in', 'islamabad', 'are', 'observing', 'serious', 'impacts', 'related', 'to', 'water', 'scarcity', 'due', 'to', 'changing', 'climate', 'patterns', '.']","['residents', 'islamabad', 'observing', 'serious', 'impacts', 'related', 'water', 'scarcity', 'due', 'changing', 'climate', 'patterns', '.']","['residents', 'islamabad', 'observing', 'serious', 'impacts', 'related', 'water', 'scarcity', 'due', 'changing', 'climate', 'patterns']","['resident', 'islamabad', 'observing', 'serious', 'impact', 'related', 'water', 'scarcity', 'due', 'changing', 'climate', 'pattern']",resident islamabad observing serious impact related water scarcity due changing climate pattern,12,12,Resource Crisis,Resource Issue
TWT3,user_151548,Residents in Larkana have noticed long-term effects related to heatwave during ongoing environmental changes.,12/10/2023 12:00:00 AM,Larkana,#Environment,en,0,Neutral,Climate Stress,Climate,2202,5039,heatwave,residents in larkana have noticed long-term effects related to heatwave during ongoing environmental changes.,[],[],FALSE,FALSE,6.857142857,"['residents', 'in', 'larkana', 'have', 'noticed', 'long-term', 'effects', 'related', 'to', 'heatwave', 'during', 'ongoing', 'environmental', 'changes', '.']","['residents', 'larkana', 'noticed', 'long-term', 'effects', 'related', 'heatwave', 'ongoing', 'environmental', 'changes', '.']","['residents', 'larkana', 'noticed', 'long-term', 'effects', 'related', 'heatwave', 'ongoing', 'environmental', 'changes']","['resident', 'larkana', 'noticed', 'long-term', 'effect', 'related', 'heatwave', 'ongoing', 'environmental', 'change']",resident larkana noticed long-term effect related heatwave ongoing environmental change,10,10,Disaster Relief / Recovery,Disaster
TWT4,user_117132,Local communities in Nawabshah are discussing serious impacts related to flooding due to changing climate patterns.,7/27/2018 12:00:00 AM,Nawabshah,#PakistanClimate,en,-0.092153333,Neutral,Disaster Risk,Climate,846,6400,flooding,local communities in nawabshah are discussing serious impacts related to flooding due to changing climate patterns.,[],[],FALSE,FALSE,6.25,"['local', 'communities', 'in', 'nawabshah', 'are', 'discussing', 'serious', 'impacts', 'related', 'to', 'flooding', 'due', 'to', 'changing', 'climate', 'patterns', '.']","['local', 'communities', 'nawabshah', 'discussing', 'serious', 'impacts', 'related', 'flooding', 'due', 'changing', 'climate', 'patterns', '.']","['local', 'communities', 'nawabshah', 'discussing', 'serious', 'impacts', 'related', 'flooding', 'due', 'changing', 'climate', 'patterns']","['local', 'community', 'nawabshah', 'discussing', 'serious', 'impact', 'related', 'flooding', 'due', 'changing', 'climate', 'pattern']",local community nawabshah discussing serious impact related flooding due changing climate pattern,12,12,Severe Disaster Concern,Disaster
TWT5,user_127767,Health officials in Islamabad are experiencing environmental challenges related to heatwave during ongoing environmental changes.,2/6/2025 12:00:00 AM,Islamabad,#Environment,en,0.04632,Neutral,Climate Stress,Climate,3793,3258,heatwave,health officials in islamabad are experiencing environmental challenges related to heatwave during ongoing environmental changes.,[],[],FALSE,FALSE,7.666666667,"['health', 'officials', 'in', 'islamabad', 'are', 'experiencing', 'environmental', 'challenges', 'related', 'to', 'heatwave', 'during', 'ongoing', 'environmental', 'changes', '.']","['health', 'officials', 'islamabad', 'experiencing', 'environmental', 'challenges', 'related', 'heatwave', 'ongoing', 'environmental', 'changes', '.']","['health', 'officials', 'islamabad', 'experiencing', 'environmental', 'challenges', 'related', 'heatwave', 'ongoing', 'environmental', 'changes']","['health', 'official', 'islamabad', 'experiencing', 'environmental', 'challenge', 'related', 'heatwave', 'ongoing', 'environmental', 'change']",health official islamabad experiencing environmental challenge related heatwave ongoing environmental change,11,10,General Disaster Discussion,Disaster
TWT6,user_476221,Health officials in Islamabad are raising concerns about economic pressure related to heatwave as weather conditions shift.,12/6/2021 12:00:00 AM,Islamabad,#ClimateChange,en,-0.1376,Negative,Climate Stress,Climate,4060,3458,heatwave,health officials in islamabad are raising concerns about economic pressure related to heatwave as weather conditions shift.,[],[],FALSE,FALSE,6.294117647,"['health', 'officials', 'in', 'islamabad', 'are', 'raising', 'concerns', 'about', 'economic', 'pressure', 'related', 'to', 'heatwave', 'as', 'weather', 'conditions', 'shift', '.']","['health', 'officials', 'islamabad', 'raising', 'concerns', 'economic', 'pressure', 'related', 'heatwave', 'weather', 'conditions', 'shift', '.']","['health', 'officials', 'islamabad', 'raising', 'concerns', 'economic', 'pressure', 'related', 'heatwave', 'weather', 'conditions', 'shift']","['health', 'official', 'islamabad', 'raising', 'concern', 'economic', 'pressure', 'related', 'heatwave', 'weather', 'condition', 'shift']",health official islamabad raising concern economic pressure related heatwave weather condition shift,12,12,Severe Disaster Concern,Disaster
TWT7,user_358674,Environmental experts in Swabi are reporting environmental challenges related to heavy rainfall after recent reports.,2/5/2019 12:00:00 AM,Swabi,#PakistanClimate,en,0.019653333,Neutral,Disaster Risk,Climate,791,7505,heavy rainfall,environmental experts in swabi are reporting environmental challenges related to heavy rainfall after recent reports.,[],[],FALSE,FALSE,6.866666667,"['environmental', 'experts', 'in', 'swabi', 'are', 'reporting', 'environmental', 'challenges', 'related', 'to', 'heavy', 'rainfall', 'after', 'recent', 'reports', '.']","['environmental', 'experts', 'swabi', 'reporting', 'environmental', 'challenges', 'related', 'heavy', 'rainfall', 'recent', 'reports', '.']","['environmental', 'experts', 'swabi', 'reporting', 'environmental', 'challenges', 'related', 'heavy', 'rainfall', 'recent', 'reports']","['environmental', 'expert', 'swabi', 'reporting', 'environmental', 'challenge', 'related', 'heavy', 'rainfall', 'recent', 'report']",environmental expert swabi reporting environmental challenge related heavy rainfall recent report,11,10,General Disaster Discussion,Disaster
TWT8,user_837509,Local communities in Gwadar have noticed health risks related to flooding after recent reports.,7/21/2020 12:00:00 AM,Gwadar,#Smog,en,-0.16392,Negative,Disaster Risk,Climate,3145,2954,flooding,local communities in gwadar have noticed health risks related to flooding after recent reports.,[],[],FALSE,FALSE,5.857142857,"['local', 'communities', 'in', 'gwadar', 'have', 'noticed', 'health', 'risks', 'related', 'to', 'flooding', 'after', 'recent', 'reports', '.']","['local', 'communities', 'gwadar', 'noticed', 'health', 'risks', 'related', 'flooding', 'recent', 'reports', '.']","['local', 'communities', 'gwadar', 'noticed', 'health', 'risks', 'related', 'flooding', 'recent', 'reports']","['local', 'community', 'gwadar', 'noticed', 'health', 'risk', 'related', 'flooding', 'recent', 'report']",local community gwadar noticed health risk related flooding recent report,10,10,Severe Disaster Concern,Disaster
TWT9,user_241217,Health officials in Charsadda are discussing environmental challenges related to extreme weather as weather conditions shift.,8/13/2020 12:00:00 AM,Charsadda,#PakistanClimate,en,0.02132,Neutral,Climate Concern,Climate,149,8015,extreme weather,health officials in charsadda are discussing environmental challenges related to extreme weather as weather conditions shift.,[],[],FALSE,FALSE,6.875,"['health', 'officials', 'in', 'charsadda', 'are', 'discussing', 'environmental', 'challenges', 'related', 'to', 'extreme', 'weather', 'as', 'weather', 'conditions', 'shift', '.']","['health', 'officials', 'charsadda', 'discussing', 'environmental', 'challenges', 'related', 'extreme', 'weather', 'weather', 'conditions', 'shift', '.']","['health', 'officials', 'charsadda', 'discussing', 'environmental', 'challenges', 'related', 'extreme', 'weather', 'weather', 'conditions', 'shift']","['health', 'official', 'charsadda', 'discussing', 'environmental', 'challenge', 'related', 'extreme', 'weather', 'weather', 'condition', 'shift']",health official charsadda discussing environmental challenge related extreme weather weather condition shift,12,11,Positive Environmental Outlook,General
TWT10,user_355298,Citizens in Islamabad are experiencing public safety issues related to rising temperatures during ongoing environmental changes.,5/31/2018 12:00:00 AM,Islamabad,#PakistanClimate,en,0.2529,Positive,Climate Stress,Climate,4492,1441,rising temperatures,citizens in islamabad are experiencing public safety issues related to rising temperatures during ongoing environmental changes.,[],[],FALSE,FALSE,7.0625,"['citizens', 'in', 'islamabad', 'are', 'experiencing', 'public', 'safety', 'issues', 'related', 'to', 'rising', 'temperatures', 'during', 'ongoing', 'environmental', 'changes', '.']","['citizens', 'islamabad', 'experiencing', 'public', 'safety', 'issues', 'related', 'rising', 'temperatures', 'ongoing', 'environmental', 'changes', '.']","['citizens', 'islamabad', 'experiencing', 'public', 'safety', 'issues', 'related', 'rising', 'temperatures', 'ongoing', 'environmental', 'changes']","['citizen', 'islamabad', 'experiencing', 'public', 'safety', 'issue', 'related', 'rising', 'temperature', 'ongoing', 'environmental', 'change']",citizen islamabad experiencing public safety issue related rising temperature ongoing environmental change,12,12,Climate Awareness,Climate Change
